,grupo,nivel,comp_destino,comp_especif,sueldo,fmr,c4%,total,media_compl_especif,salario_total
85,A1,26.0,11355.12,33499.9,17049.72,694.96,0.0,62599.700000000004,34134.77487179488,62539.61487179488
86,A1,26.0,11355.12,34281.52,17049.72,694.96,0.0,63381.32,34134.77487179488,62539.61487179488
87,A1,26.0,11355.12,34408.22,17049.72,694.96,0.0,63508.020000000004,34134.77487179488,62539.61487179488
88,A1,26.0,11355.12,34443.36,17049.72,694.96,0.0,63543.16,34134.77487179488,62539.61487179488
89,A1,26.0,11355.12,34652.66,17049.72,694.96,0.0,63752.46000000001,34134.77487179488,62539.61487179488
90,A1,26.0,11355.12,35120.68,17049.72,694.96,0.0,64220.48,34134.77487179488,62539.61487179488
91,A1,26.0,11355.12,36954.68,17049.72,694.96,0.0,66054.48000000001,34134.77487179488,62539.61487179488
92,A1,26.0,11355.12,37401.420000000006,17049.72,694.96,0.0,66501.22000000002,34134.77487179488,62539.61487179488
93,A1,26.0,11355.12,39446.26,17049.72,694.96,0.0,68546.06000000001,34134.77487179488,62539.61487179488
94,A1,26.0,11355.12,45051.579999999994,17049.72,694.96,0.0,74151.38,34134.77487179488,62539.61487179488
95,A1,26.0,11355.12,47912.76,17049.72,694.96,0.0,77012.56000000001,34134.77487179488,62539.61487179488
96,A1,26.0,11355.12,56905.1,17049.72,694.96,0.0,86004.90000000001,34134.77487179488,62539.61487179488
97,A1,26.0,11355.12,60951.659999999996,17049.72,694.96,0.0,90051.46,34134.77487179488,62539.61487179488
98,A1,27.0,12942.72,37433.76,17049.72,694.96,0.0,68121.16000000002,52457.95333333333,82450.39333333334
99,A1,27.0,12942.72,53450.6,17049.72,694.96,0.0,84138.00000000001,52457.95333333333,82450.39333333334
100,A1,27.0,12942.72,66489.5,17049.72,694.96,0.0,97176.90000000001,52457.95333333333,82450.39333333334
101,A1,28.0,13537.44,27860.28,17049.72,694.96,0.0,59142.4,38217.38666666667,68804.54666666668
102,A1,28.0,13537.44,29741.46,17049.72,694.96,0.0,61023.58,38217.38666666667,68804.54666666668
103,A1,28.0,13537.44,30023.28,17049.72,694.96,0.0,61305.4,38217.38666666667,68804.54666666668
